exposures,theta,conversions
"[104, 170, 751]","[0.051621005454381697, 0.09026429284412144, 0.1192962665103652]","[7, 21, 107]"
"[104, 170, 752]","[0.10449823864363891, 0.10233934336334946, 0.1294177365539982]","[7, 21, 107]"
"[104, 170, 753]","[0.0462897738754227, 0.07083294777126953, 0.140841227478759]","[7, 21, 107]"
"[104, 170, 754]","[0.07952278602075366, 0.12085524007856145, 0.10086935883394896]","[7, 21, 107]"
"[104, 171, 754]","[0.07810416968624562, 0.13942467847974724, 0.1085679119313943]","[7, 22, 107]"
"[104, 172, 754]","[0.058294562388173946, 0.14245478805929015, 0.09794998237474888]","[7, 22, 107]"
"[104, 173, 754]","[0.03245282298299689, 0.14159646157002345, 0.11675832888549968]","[7, 22, 107]"
"[104, 174, 754]","[0.06211944886902943, 0.11006216132667772, 0.14096932078319913]","[7, 22, 107]"
"[104, 174, 755]","[0.04136235115015328, 0.12791421469673595, 0.12362936590505266]","[7, 22, 108]"
"[104, 175, 755]","[0.0576357848594224, 0.1611540987472671, 0.13002705566107092]","[7, 23, 108]"
"[104, 176, 755]","[0.10431537921005965, 0.1369938337461301, 0.13613800849709445]","[7, 23, 108]"
"[104, 177, 755]","[0.09805308388941923, 0.17801342592413552, 0.11748184215686697]","[7, 23, 108]"
"[104, 178, 755]","[0.03165700039896855, 0.12729968681049747, 0.11951276556502242]","[7, 23, 108]"
"[104, 179, 755]","[0.03923525626897046, 0.11949338013338189, 0.12630858368803005]","[7, 23, 108]"
"[104, 179, 756]","[0.060749163609705996, 0.10258427756120021, 0.14030284116786945]","[7, 23, 108]"
"[104, 179, 757]","[0.07682941775351042, 0.06315848165961778, 0.14358980805692353]","[7, 23, 108]"
"[104, 179, 758]","[0.07809108506294504, 0.15022529983866761, 0.12411874067464057]","[7, 23, 108]"
"[104, 180, 758]","[0.08138983413309499, 0.109351511051977, 0.1252153501877419]","[7, 23, 108]"
"[104, 180, 759]","[0.07053793251734691, 0.15457855797975012, 0.1350198928085589]","[7, 23, 109]"
"[104, 181, 759]","[0.03852757825805294, 0.13181800011893782, 0.11627838228451791]","[7, 23, 109]"
"[104, 182, 759]","[0.06815122061844557, 0.11503726123658947, 0.12019155215485912]","[7, 23, 109]"
"[104, 182, 760]","[0.04222908151254137, 0.13447734105493508, 0.1456709180721333]","[7, 23, 110]"
"[104, 182, 761]","[0.14683759763807458, 0.12410342935834744, 0.1389013344260958]","[7, 23, 111]"
"[105, 182, 761]","[0.07199629573150369, 0.094781619285837, 0.1429242398166]","[7, 23, 111]"
"[105, 182, 762]","[0.12159485427979928, 0.12564545982559713, 0.12545130955632589]","[7, 23, 111]"
"[105, 183, 762]","[0.049678699440785325, 0.05944019672773784, 0.1345743157159267]","[7, 23, 111]"
"[105, 183, 763]","[0.07583565471813901, 0.12268206570723947, 0.1185093734275986]","[7, 23, 111]"
"[105, 184, 763]","[0.0484499444744005, 0.15247576603155089, 0.11328358320092596]","[7, 23, 111]"
"[105, 185, 763]","[0.08868245327654642, 0.12355189541182125, 0.12428159140064235]","[7, 23, 111]"
"[105, 185, 764]","[0.0840869968409658, 0.07993800011581115, 0.11423778691129907]","[7, 23, 111]"
"[105, 185, 765]","[0.07283304209631342, 0.10425750106467972, 0.12175990155120042]","[7, 23, 111]"
"[105, 185, 766]","[0.09996771378945432, 0.11176731603987532, 0.1268275472686288]","[7, 23, 111]"
"[105, 185, 767]","[0.028221903278463023, 0.12236409052134964, 0.1339974586008718]","[7, 23, 111]"
"[105, 185, 768]","[0.04431203622309982, 0.10894171929554866, 0.11728180229774068]","[7, 23, 111]"
"[105, 185, 769]","[0.038193569627057035, 0.14767102180798378, 0.12173698378681085]","[7, 23, 111]"
"[105, 186, 769]","[0.06276143884371946, 0.1287184778006854, 0.11708006890355685]","[7, 23, 111]"
"[105, 187, 769]","[0.06365718710386269, 0.11640533654177586, 0.1396875770274597]","[7, 23, 111]"
"[105, 187, 770]","[0.09110979160828071, 0.1658254962543896, 0.12849834429662035]","[7, 23, 111]"
"[105, 188, 770]","[0.07120183771027513, 0.08430397787501742, 0.14048117298680737]","[7, 23, 111]"
"[105, 188, 771]","[0.058852843777666905, 0.11473626669858118, 0.12985311668235464]","[7, 23, 111]"
"[105, 188, 772]","[0.08244614553257253, 0.10323337509593863, 0.14830541889009513]","[7, 23, 111]"
"[105, 188, 773]","[0.09208442454811615, 0.0919115093188838, 0.131972667979001]","[7, 23, 111]"
"[105, 188, 774]","[0.07459647460745158, 0.11529828131875591, 0.12644282121709247]","[7, 23, 111]"
"[105, 188, 775]","[0.04552730357830549, 0.11532257294697887, 0.12405020255731433]","[7, 23, 111]"
"[105, 188, 776]","[0.08432282270535764, 0.08470707373939919, 0.11558383084242992]","[7, 23, 112]"
"[105, 188, 777]","[0.04722781278242921, 0.11704254170679144, 0.12512248870973744]","[7, 23, 112]"
"[105, 188, 778]","[0.05149216521141545, 0.1398726048651784, 0.13339583859116572]","[7, 23, 113]"
"[105, 189, 778]","[0.09110938003210896, 0.1162105427195855, 0.12893108822298974]","[7, 23, 113]"
"[105, 189, 779]","[0.04443143382328975, 0.09497487074631417, 0.12651297828254518]","[7, 23, 113]"
"[105, 189, 780]","[0.15874736887338434, 0.1371186851685205, 0.14259668096376998]","[7, 23, 113]"
"[106, 189, 780]","[0.057922858100069856, 0.10315084270864591, 0.11951818653718359]","[7, 23, 113]"
"[106, 189, 781]","[0.06664235106201806, 0.12740512959931488, 0.1224518195832193]","[7, 23, 114]"
"[106, 190, 781]","[0.059532158019380395, 0.1287191901461138, 0.12486741568446248]","[7, 23, 114]"
"[106, 191, 781]","[0.09271944618011614, 0.08799023696197421, 0.12354784150657687]","[7, 23, 114]"
"[106, 191, 782]","[0.07192078525637827, 0.15462356692288776, 0.11917737945816452]","[7, 23, 114]"
"[106, 192, 782]","[0.07048832393671543, 0.14339565078441424, 0.12666426575698153]","[7, 23, 114]"
"[106, 193, 782]","[0.07742781049768249, 0.1220893395920396, 0.14246404564317164]","[7, 23, 114]"
"[106, 193, 783]","[0.04742462260302268, 0.10242663205350723, 0.1277193278828229]","[7, 23, 115]"
"[106, 193, 784]","[0.06340806798886718, 0.10976597051053683, 0.12848166526745047]","[7, 23, 115]"
"[106, 193, 785]","[0.06732244379632726, 0.11629324843006751, 0.1449521921400341]","[7, 23, 115]"
"[106, 193, 786]","[0.08178946219984853, 0.08092411150867472, 0.1265153249755184]","[7, 23, 115]"
"[106, 193, 787]","[0.09330853940112588, 0.12143683527640134, 0.09764698173119721]","[7, 23, 115]"
"[106, 194, 787]","[0.077358316303806, 0.10224179037242767, 0.1099367793994682]","[7, 23, 115]"
"[106, 194, 788]","[0.09583371049113046, 0.11409243995203386, 0.12226418670106282]","[7, 23, 115]"
"[106, 194, 789]","[0.021768183697692456, 0.07699237832585201, 0.1338991567936427]","[7, 23, 115]"
"[106, 194, 790]","[0.10290280445927255, 0.07576306611346226, 0.11305011067218432]","[7, 23, 116]"
"[106, 194, 791]","[0.06738448563221913, 0.07390813786661816, 0.13057421389040716]","[7, 23, 116]"
"[106, 194, 792]","[0.09825686931325603, 0.10744268760873334, 0.13022773021359246]","[7, 23, 116]"
"[106, 194, 793]","[0.059882871756326075, 0.10749843259865595, 0.1418488120965846]","[7, 23, 116]"
"[106, 194, 794]","[0.07466214168495877, 0.09469472509597252, 0.11960460491413025]","[7, 23, 116]"
"[106, 194, 795]","[0.047841457705350664, 0.14772536703012096, 0.11809692080487671]","[7, 23, 116]"
"[106, 195, 795]","[0.02889956343665134, 0.1235461211192905, 0.12682636862495095]","[7, 23, 116]"
"[106, 195, 796]","[0.04814029462959528, 0.08981751657655086, 0.13051226863552093]","[7, 23, 116]"
"[106, 195, 797]","[0.05549765115024254, 0.10851845510017685, 0.12925302313875098]","[7, 23, 116]"
"[106, 195, 798]","[0.05327827063170274, 0.09354493139548042, 0.11401044382775445]","[7, 23, 117]"
"[106, 195, 799]","[0.06346908627703476, 0.07450504985067126, 0.1364238308384994]","[7, 23, 117]"
"[106, 195, 800]","[0.08904671849925276, 0.09971123306780846, 0.13728983582493634]","[7, 23, 117]"
"[106, 195, 801]","[0.0817165824003518, 0.1206281451068166, 0.13154379653978973]","[7, 23, 117]"
"[106, 195, 802]","[0.04211841056204198, 0.13789844102797946, 0.11193195572276399]","[7, 23, 117]"
"[106, 196, 802]","[0.07101186626897876, 0.11620143034666135, 0.11300334308582599]","[7, 23, 117]"
"[106, 197, 802]","[0.09386814764398846, 0.13008523720114212, 0.12131917870914975]","[7, 23, 117]"
"[106, 198, 802]","[0.06436581888243686, 0.10538178378446453, 0.12142920786894325]","[7, 24, 117]"
"[106, 198, 803]","[0.06109519359576042, 0.0807800388759379, 0.12239346484713128]","[7, 24, 117]"
"[106, 198, 804]","[0.07202928559130041, 0.10586338321630075, 0.12391630643822404]","[7, 24, 117]"
"[106, 198, 805]","[0.04669283972899145, 0.11555891522503124, 0.12547626038088988]","[7, 24, 117]"
"[106, 198, 806]","[0.08635754264374525, 0.09225212122059975, 0.12015865252870633]","[7, 24, 117]"
"[106, 198, 807]","[0.08737430200792247, 0.08194161852890787, 0.14965689462700751]","[7, 24, 117]"
"[106, 198, 808]","[0.059768846927011565, 0.09699928542213619, 0.12748183325960355]","[7, 24, 117]"
"[106, 198, 809]","[0.06384698436625286, 0.10272530616685484, 0.12081805529500612]","[7, 24, 118]"
"[106, 198, 810]","[0.0668871162069584, 0.11469010919537401, 0.11489663552333367]","[7, 24, 118]"
"[106, 198, 811]","[0.058252837130919506, 0.09920659801846364, 0.14196878282629893]","[7, 24, 118]"
"[106, 198, 812]","[0.03530956860517105, 0.10843618529426839, 0.12276205394484052]","[7, 24, 118]"
"[106, 198, 813]","[0.03564693686421903, 0.07634814783758727, 0.11308690959215963]","[7, 24, 118]"
"[106, 198, 814]","[0.0664311032753655, 0.10605581194868417, 0.1192376446486917]","[7, 24, 118]"
"[106, 198, 815]","[0.053628776862639636, 0.11371559185568356, 0.13100029890876255]","[7, 24, 118]"
"[106, 198, 816]","[0.06008855921731609, 0.12298320060729087, 0.15013008089202917]","[7, 24, 118]"
"[106, 198, 817]","[0.053618033859081496, 0.12504600873898913, 0.11818299322338345]","[7, 24, 118]"
"[106, 199, 817]","[0.07633697322761944, 0.15592631412252791, 0.13308464803601802]","[7, 24, 118]"
"[106, 200, 817]","[0.034865810128821055, 0.08727230156160215, 0.11278408386388779]","[7, 24, 118]"
"[106, 200, 818]","[0.0998908166607705, 0.09352397822734347, 0.13753523789095873]","[7, 24, 118]"
"[106, 200, 819]","[0.10570131401352008, 0.16683297382107914, 0.12176179932685026]","[7, 24, 118]"
"[106, 201, 819]","[0.04764082401052532, 0.09278361361816563, 0.11772403485095716]","[7, 24, 118]"
"[106, 201, 820]","[0.04610268006822767, 0.12617385490703428, 0.11312656011342928]","[7, 24, 118]"
"[106, 202, 820]","[0.07091638228107003, 0.1001647004774642, 0.13354985401665476]","[7, 24, 118]"
"[106, 202, 821]","[0.03636402548983801, 0.11023092051280627, 0.15318282018042867]","[7, 24, 118]"
"[106, 202, 822]","[0.11480194168547275, 0.10295603088142624, 0.11714943161992769]","[7, 24, 118]"
"[106, 202, 823]","[0.04371872639768834, 0.1055432680945895, 0.13362490649749809]","[7, 24, 118]"
"[106, 202, 824]","[0.09696960618668464, 0.13999182841427849, 0.12850386575747647]","[7, 24, 118]"
"[106, 203, 824]","[0.05256183913203449, 0.10342034390467628, 0.12120834475961254]","[7, 24, 118]"
"[106, 203, 825]","[0.12311824697212519, 0.14124171369723676, 0.11723827887410054]","[7, 24, 118]"
"[106, 204, 825]","[0.056991724902436584, 0.08701473555196418, 0.12684874031251153]","[7, 24, 118]"
"[106, 204, 826]","[0.06500780901218219, 0.11361779334867673, 0.14441550560483885]","[7, 24, 118]"
"[106, 204, 827]","[0.08678567129992615, 0.06578258126273977, 0.1100481894098055]","[7, 24, 118]"
"[106, 204, 828]","[0.053191737190616026, 0.11793319054361513, 0.11751569335509202]","[7, 24, 118]"
"[106, 205, 828]","[0.07772759401884576, 0.099036982099989, 0.10833432127831902]","[7, 24, 118]"
"[106, 205, 829]","[0.07506635921144006, 0.17462546977305823, 0.12012798351165133]","[7, 24, 119]"
"[106, 206, 829]","[0.08535716821382208, 0.13651363609538109, 0.13112552891896395]","[7, 24, 119]"
"[106, 207, 829]","[0.052859143773709094, 0.10477253652521516, 0.12092298211784482]","[7, 24, 119]"
"[106, 207, 830]","[0.05344225023864718, 0.10196680531662097, 0.12671038252312208]","[7, 24, 119]"
"[106, 207, 831]","[0.0279721396924292, 0.11242448201544135, 0.11310383008464348]","[7, 24, 120]"
"[106, 207, 832]","[0.07465105368511478, 0.10198526928530799, 0.12464852461483877]","[7, 24, 120]"
"[106, 207, 833]","[0.07514998003037755, 0.1514484934291216, 0.1189239354095873]","[7, 24, 120]"
"[106, 208, 833]","[0.11025669529281845, 0.1086544594739872, 0.13533770418983726]","[7, 24, 120]"
"[106, 208, 834]","[0.07997844876495698, 0.11481976374171589, 0.1370538404006541]","[7, 24, 120]"
"[106, 208, 835]","[0.08686409524346837, 0.10642031689516518, 0.11891413980991014]","[7, 24, 121]"
"[106, 208, 836]","[0.07171580854686745, 0.10730569049633766, 0.11240566406804382]","[7, 24, 121]"
"[106, 208, 837]","[0.05951327296486026, 0.08747758214033442, 0.12359718951613717]","[7, 24, 121]"
"[106, 208, 838]","[0.12953370076034992, 0.10272370244193017, 0.11725694575581606]","[7, 24, 121]"
"[107, 208, 838]","[0.043035751042610065, 0.09720999205129421, 0.14504972313316367]","[7, 24, 121]"
"[107, 208, 839]","[0.056872489183625884, 0.06675759404377976, 0.1423988065594618]","[7, 24, 121]"
"[107, 208, 840]","[0.049382722902792976, 0.09120585904319733, 0.12240867771209468]","[7, 24, 121]"
"[107, 208, 841]","[0.08628194823878413, 0.1080715308653594, 0.11758298898604384]","[7, 24, 121]"
"[107, 208, 842]","[0.06847408730276144, 0.07347938807006374, 0.12600025615307187]","[7, 24, 121]"
"[107, 208, 843]","[0.03727888733604965, 0.11299183471945604, 0.11459214982622014]","[7, 24, 121]"
"[107, 208, 844]","[0.08125154002061669, 0.10103271458583182, 0.12337072359991182]","[7, 24, 121]"
"[107, 208, 845]","[0.06534755313957266, 0.15150396314061718, 0.1245652231587679]","[7, 24, 121]"
"[107, 209, 845]","[0.03281526887971933, 0.11061973062351496, 0.12545452547834607]","[7, 24, 121]"
"[107, 209, 846]","[0.052537930716371646, 0.08232024148898634, 0.11919652625328446]","[7, 24, 121]"
"[107, 209, 847]","[0.03365931438206488, 0.09092362433321248, 0.12798660343545665]","[7, 24, 121]"
"[107, 209, 848]","[0.0802976997406677, 0.10428019896574645, 0.12742257852334857]","[7, 24, 121]"
"[107, 209, 849]","[0.07599187458333992, 0.08834740632248862, 0.11940793355251286]","[7, 24, 121]"
"[107, 209, 850]","[0.04203489186250907, 0.08125392513447463, 0.12406999637398633]","[7, 24, 121]"
"[107, 209, 851]","[0.07039800156117601, 0.08837070602875118, 0.14707674956549457]","[7, 24, 121]"
"[107, 209, 852]","[0.04201562689566915, 0.10150649665418367, 0.11984566940837164]","[7, 24, 121]"
"[107, 209, 853]","[0.06415138128106573, 0.09238856128367355, 0.11224867831827043]","[7, 24, 121]"
"[107, 209, 854]","[0.059901820248847194, 0.10555996655025796, 0.12865475106927218]","[7, 24, 121]"
"[107, 209, 855]","[0.056475086290460524, 0.11731305813233732, 0.14388767576772954]","[7, 24, 121]"
"[107, 209, 856]","[0.07434801898821157, 0.13342263093316634, 0.1220993290273567]","[7, 24, 121]"
"[107, 210, 856]","[0.03193850629403013, 0.12523283679053082, 0.1259891083237629]","[7, 24, 121]"
"[107, 210, 857]","[0.04225485380510449, 0.10899144122704556, 0.11526862407544947]","[7, 24, 121]"
"[107, 210, 858]","[0.07190163864419838, 0.107203747886425, 0.12220697250055976]","[7, 24, 121]"
"[107, 210, 859]","[0.04369532367545209, 0.09507017171101413, 0.10510971447043549]","[7, 24, 121]"
"[107, 210, 860]","[0.0592392563044549, 0.08738621224555057, 0.13056344860092375]","[7, 24, 121]"
"[107, 210, 861]","[0.057744185135138196, 0.10078380924033886, 0.1320481298925464]","[7, 24, 121]"
"[107, 210, 862]","[0.07177614559503599, 0.15194872156243022, 0.11919158761494986]","[7, 24, 121]"
"[107, 211, 862]","[0.0486237893035599, 0.1607661915429571, 0.10645299273789083]","[7, 24, 121]"
"[107, 212, 862]","[0.04476381636089041, 0.12837401116758645, 0.11695494827979958]","[7, 24, 121]"
"[107, 213, 862]","[0.039947015514144334, 0.10322213445974432, 0.13293392736662743]","[7, 24, 121]"
"[107, 213, 863]","[0.05178897618370992, 0.11273898700403012, 0.10765565868447871]","[7, 24, 121]"
"[107, 214, 863]","[0.06363925484447351, 0.07797042326826958, 0.12116867999286371]","[7, 24, 121]"
"[107, 214, 864]","[0.07386331704300646, 0.0880067072264524, 0.11981090778848934]","[7, 24, 121]"
"[107, 214, 865]","[0.10303551008963364, 0.07289520996429778, 0.11910738312494004]","[7, 24, 121]"
"[107, 214, 866]","[0.11128519774503405, 0.11932289160798897, 0.10476662541827463]","[7, 24, 121]"
"[107, 215, 866]","[0.06990969975748254, 0.10042018392685757, 0.13207265984442954]","[7, 24, 121]"
"[107, 215, 867]","[0.0635011022010836, 0.10473567646552226, 0.135307408779406]","[7, 24, 121]"
"[107, 215, 868]","[0.10917250971465108, 0.11011901622791614, 0.1254472071948356]","[7, 24, 121]"
"[107, 215, 869]","[0.09153242879715785, 0.10704845299473731, 0.12620129392620025]","[7, 24, 121]"
"[107, 215, 870]","[0.05749745231109864, 0.10395531810604845, 0.12236964792689498]","[7, 24, 121]"
"[107, 215, 871]","[0.090958508896473, 0.10294366866995913, 0.13037459552590713]","[7, 24, 121]"
"[107, 215, 872]","[0.08708968102934472, 0.08976488358691978, 0.12000536591095351]","[7, 24, 121]"
"[107, 215, 873]","[0.06155547618185246, 0.1394968167501816, 0.0986282990545228]","[7, 24, 121]"
"[107, 216, 873]","[0.15140543968110182, 0.12429036621233008, 0.1209364298727578]","[7, 24, 121]"
"[108, 216, 873]","[0.07789912548486479, 0.11748575665222863, 0.13247640918110734]","[7, 24, 121]"
"[108, 216, 874]","[0.06567182120952764, 0.12418328582795084, 0.10484649866436134]","[7, 24, 121]"
"[108, 217, 874]","[0.07275847209807756, 0.12052391352991561, 0.12194398241634664]","[7, 24, 121]"
"[108, 217, 875]","[0.057182028958249496, 0.09555886110798777, 0.12986809664615662]","[7, 24, 121]"
"[108, 217, 876]","[0.1110787312766301, 0.11782358858456458, 0.11921879685039406]","[7, 24, 121]"
"[108, 217, 877]","[0.03270361385271684, 0.09935301543060561, 0.11100177362255761]","[7, 24, 121]"
"[108, 217, 878]","[0.040512977517229085, 0.08575225681777557, 0.10773140787744047]","[7, 24, 121]"
"[108, 217, 879]","[0.09481064592517902, 0.09998534312936182, 0.1267419643071338]","[7, 24, 121]"
"[108, 217, 880]","[0.11518618588983932, 0.08720569834015184, 0.13621356540398022]","[7, 24, 121]"
"[108, 217, 881]","[0.019544936534524784, 0.07879807214158545, 0.1231598019659725]","[7, 24, 121]"
"[108, 217, 882]","[0.061394630543176405, 0.116740948433846, 0.12367748404127306]","[7, 24, 121]"
"[108, 217, 883]","[0.03490581089489654, 0.12458934257973686, 0.11712160983105092]","[7, 24, 121]"
"[108, 218, 883]","[0.06773416984549914, 0.12529792840732884, 0.12868123877044324]","[7, 24, 121]"
"[108, 218, 884]","[0.07114122808942698, 0.1105399704063875, 0.12444882282710616]","[7, 24, 122]"
"[108, 218, 885]","[0.07110715294877565, 0.10028109736366987, 0.13798685197985114]","[7, 24, 122]"
"[108, 218, 886]","[0.02826999844640414, 0.10318212495595824, 0.1097738544586678]","[7, 24, 122]"
"[108, 218, 887]","[0.05030494251668659, 0.07227751459235632, 0.14342625817337212]","[7, 24, 122]"
"[108, 218, 888]","[0.06698758932501138, 0.08331857956160016, 0.12673069537702644]","[7, 24, 123]"
"[108, 218, 889]","[0.1280604380277213, 0.08771289361007154, 0.11820665632342098]","[7, 24, 123]"
"[109, 218, 889]","[0.035508508341188516, 0.08392135750903286, 0.10852761282981478]","[7, 24, 123]"
"[109, 218, 890]","[0.043216343813723045, 0.10205922772222442, 0.10522316000105043]","[7, 24, 123]"
"[109, 218, 891]","[0.05062489271643256, 0.07353472821805632, 0.12387683974799202]","[7, 24, 123]"
"[109, 218, 892]","[0.07737983120921683, 0.08879715779628976, 0.12168648272543836]","[7, 24, 123]"
"[109, 218, 893]","[0.06510327969684625, 0.08869509653397974, 0.12218333939559109]","[7, 24, 123]"
"[109, 218, 894]","[0.08528960194532587, 0.12322979930397376, 0.1055155373759348]","[7, 24, 123]"
"[109, 219, 894]","[0.0628904534162507, 0.09640275230041295, 0.13204123018951477]","[7, 24, 123]"
"[109, 219, 895]","[0.031173383424797304, 0.12397756164037653, 0.11516823487283445]","[7, 24, 123]"
"[109, 220, 895]","[0.05767789548380709, 0.14010346385652317, 0.1408822832418093]","[7, 24, 123]"
"[109, 220, 896]","[0.053193707116405, 0.09919786390727417, 0.14557354965433608]","[7, 24, 123]"
"[109, 220, 897]","[0.08622725677783814, 0.10018276999329646, 0.11374956528224155]","[7, 24, 123]"
"[109, 220, 898]","[0.06327224140848184, 0.13034722271732896, 0.12232641066366241]","[7, 24, 123]"
"[109, 221, 898]","[0.06661908028148689, 0.0894922270661947, 0.11444471188120871]","[7, 24, 123]"
"[109, 221, 899]","[0.03118398157740966, 0.0922674413307776, 0.12880525130396078]","[7, 24, 123]"
"[109, 221, 900]","[0.056467916977507374, 0.08715335706268866, 0.11531845133840685]","[7, 24, 123]"
"[109, 221, 901]","[0.09406362026318245, 0.11187996386778226, 0.11466418136106986]","[7, 24, 123]"
"[109, 221, 902]","[0.09359477907148464, 0.11610283988297158, 0.12269198023419184]","[7, 24, 123]"
"[109, 221, 903]","[0.06484687161014031, 0.11141766826941414, 0.11513615380740934]","[7, 24, 123]"
"[109, 221, 904]","[0.050570796207164016, 0.10767274502673337, 0.12677041940725384]","[7, 24, 123]"
"[109, 221, 905]","[0.05268445067837083, 0.1190694490640735, 0.11852401401430067]","[7, 24, 123]"
"[109, 222, 905]","[0.06502216152937496, 0.131486627711877, 0.12973068543085337]","[7, 24, 123]"
"[109, 223, 905]","[0.06934798481522246, 0.09586546230221156, 0.11732959094309758]","[7, 24, 123]"
"[109, 223, 906]","[0.03745272537139671, 0.11779906537987471, 0.12451352423132087]","[7, 24, 123]"
"[109, 223, 907]","[0.07770322435175542, 0.09687185320101392, 0.11049902366726407]","[7, 24, 123]"
"[109, 223, 908]","[0.08206101545975951, 0.07753483761146465, 0.1194058703916738]","[7, 24, 123]"
"[109, 223, 909]","[0.023510193917557667, 0.11134627319928432, 0.11645182234465906]","[7, 24, 123]"
"[109, 223, 910]","[0.07458329612751692, 0.11306589462835406, 0.13337439534277434]","[7, 24, 123]"
"[109, 223, 911]","[0.08952438943721545, 0.07284554520953301, 0.12001388439045385]","[7, 24, 124]"
"[109, 223, 912]","[0.057116308175122546, 0.08031388406180794, 0.12690680347907296]","[7, 24, 124]"
"[109, 223, 913]","[0.10029650282548615, 0.10362724418209639, 0.12355693847194119]","[7, 24, 124]"
"[109, 223, 914]","[0.04446341588995705, 0.0882785077678621, 0.11966680931114992]","[7, 24, 124]"
"[109, 223, 915]","[0.10028029972677872, 0.1043724019813811, 0.12880649269205158]","[7, 24, 124]"
"[109, 223, 916]","[0.09905389275578734, 0.09522310788806715, 0.11128289937634797]","[7, 24, 124]"
"[109, 223, 917]","[0.10508494690378332, 0.10185032584423942, 0.1306873508836327]","[7, 24, 124]"
"[109, 223, 918]","[0.05796468506162816, 0.14267424634922105, 0.14651438981999235]","[7, 24, 125]"
"[109, 223, 919]","[0.09836620308204075, 0.09467780636739037, 0.12574400079436082]","[7, 24, 125]"
"[109, 223, 920]","[0.09994124898744818, 0.08147223909762012, 0.09722001416462973]","[7, 24, 125]"
"[110, 223, 920]","[0.060994789580563966, 0.1315082004487674, 0.1222364559151507]","[7, 24, 125]"
"[110, 224, 920]","[0.05901925694314125, 0.0832756287355327, 0.10177357663943824]","[7, 24, 125]"
"[110, 224, 921]","[0.04101367785593748, 0.07613928925268078, 0.1159830092093679]","[7, 24, 125]"
"[110, 224, 922]","[0.07926213185495026, 0.11088627362185946, 0.12018532594322937]","[7, 24, 125]"
"[110, 224, 923]","[0.06842234422361806, 0.13360054058755028, 0.11861507717534654]","[7, 24, 125]"
"[110, 225, 923]","[0.05427579571822651, 0.08467613553039306, 0.1377624126023106]","[7, 25, 125]"
"[110, 225, 924]","[0.060059538473896806, 0.09723451904964965, 0.1252578339329814]","[7, 25, 125]"
"[110, 225, 925]","[0.07280496999405536, 0.06197590494532447, 0.1200533856733667]","[7, 25, 125]"
"[110, 225, 926]","[0.0715092991268102, 0.11453314141713931, 0.10959323961421034]","[7, 25, 125]"
"[110, 226, 926]","[0.11252493232744143, 0.09685177255889063, 0.13617766555235658]","[7, 25, 125]"
"[110, 226, 927]","[0.08045464158929576, 0.08556001322487744, 0.12901873709907505]","[7, 25, 125]"
"[110, 226, 928]","[0.07943940868309132, 0.1290488839191767, 0.1201210637605879]","[7, 25, 125]"
"[110, 227, 928]","[0.07174178094247, 0.07821025365374462, 0.12236103302814487]","[7, 25, 125]"
"[110, 227, 929]","[0.04773625796212972, 0.10657963509542862, 0.1286263028491809]","[7, 25, 125]"
"[110, 227, 930]","[0.11202606575725803, 0.1072639929294055, 0.12296216801083272]","[7, 25, 125]"
"[110, 227, 931]","[0.09185621163021639, 0.08868910240397518, 0.11739710479527951]","[7, 25, 125]"
"[110, 227, 932]","[0.0922258039238313, 0.11664142334482842, 0.11702477329761934]","[7, 25, 125]"
"[110, 227, 933]","[0.09556568778185234, 0.11495347720725041, 0.11563341661567896]","[7, 25, 126]"
"[110, 227, 934]","[0.06004727092347779, 0.07822366283945931, 0.1221846727341125]","[7, 25, 126]"
"[110, 227, 935]","[0.10343578200866951, 0.08981321716191148, 0.12203742210693738]","[7, 25, 126]"
"[110, 227, 936]","[0.06670179338353772, 0.09812603183723392, 0.11880905906972611]","[7, 25, 127]"
"[110, 227, 937]","[0.08373426298257786, 0.11939358314709153, 0.11548044895565616]","[7, 25, 127]"
"[110, 228, 937]","[0.05248485736139541, 0.09832452184633643, 0.11986460215404476]","[7, 25, 127]"
"[110, 228, 938]","[0.0362834226768089, 0.11913141525525452, 0.11053338184515822]","[7, 25, 127]"
"[110, 229, 938]","[0.043454455458333624, 0.07343341952817208, 0.12048880895007479]","[7, 25, 127]"
"[110, 229, 939]","[0.0796634674422612, 0.08428881575242937, 0.11528720352804853]","[7, 25, 128]"
"[110, 229, 940]","[0.03564313469490161, 0.1369271916006524, 0.13063327632684663]","[7, 25, 128]"
"[110, 230, 940]","[0.054086983075407095, 0.07771760888689365, 0.1162097556382484]","[7, 25, 128]"
"[110, 230, 941]","[0.040563074257741756, 0.08877087726510097, 0.11199341696286245]","[7, 25, 128]"
"[110, 230, 942]","[0.10526504877606987, 0.12772381867439764, 0.11987535333088899]","[7, 25, 128]"
"[110, 231, 942]","[0.06798182496568969, 0.08915373019287202, 0.1324035251954042]","[7, 25, 128]"
"[110, 231, 943]","[0.06053300559858282, 0.09592080132828545, 0.10343120697533728]","[7, 25, 128]"
"[110, 231, 944]","[0.031669333895556574, 0.09585585258018374, 0.1161737014125519]","[7, 25, 128]"
"[110, 231, 945]","[0.08484806051989242, 0.08355349222209664, 0.10281801843549487]","[7, 25, 128]"
"[110, 231, 946]","[0.07335483409992485, 0.09801659494687467, 0.13185932383767848]","[7, 25, 128]"
"[110, 231, 947]","[0.04125856915781167, 0.10458670609877539, 0.11436569994633336]","[7, 25, 128]"
